mukey,muname,compname,comppct_r,drainagecl,hzdept_r,hzdepb_r,om_r,ph1to1h2o_r,awc_r,claytotal_r,sandtotal_r,silttotal_r,dbthirdbar_r,cec7_r,field_id
3050324,"Cullen clay loam, 2 to 6 percent slopes, moderately eroded",Cullen,95.0,Well drained,0.0,25.0,1.25,6.7,0.16,33.0,32.0,35.0,1.43,10.2,osm-1476971106
3050325,"Cullen clay loam, 6 to 10 percent slopes, moderately eroded",Cullen,95.0,Well drained,0.0,25.0,1.25,6.7,0.16,33.0,32.0,35.0,1.43,10.2,osm-1476971106
3050326,"Cullen clay loam, 10 to 15 percent slopes, moderately eroded",Cullen,95.0,Well drained,0.0,25.0,1.25,6.7,0.16,33.0,32.0,35.0,1.43,10.2,osm-1476971106
3050324,"Cullen clay loam, 2 to 6 percent slopes, moderately eroded",Cullen,95.0,Well drained,25.0,127.0,0.25,4.8,0.11,64.0,10.0,26.0,1.28,,osm-1476971106
3050325,"Cullen clay loam, 6 to 10 percent slopes, moderately eroded",Cullen,95.0,Well drained,25.0,127.0,0.25,4.8,0.11,64.0,10.0,26.0,1.28,,osm-1476971106
3050326,"Cullen clay loam, 10 to 15 percent slopes, moderately eroded",Cullen,95.0,Well drained,25.0,127.0,0.25,4.8,0.11,64.0,10.0,26.0,1.28,,osm-1476971106
3050323,"Chewacla loam, 0 to 2 percent slopes, frequently flooded",Chewacla,90.0,Somewhat poorly drained,0.0,15.0,2.5,6.3,0.23,13.0,47.0,40.0,1.5,7.1,osm-1476971106
3050350,"Herndon silt loam, 2 to 6 percent slopes",Herndon,90.0,Well drained,0.0,20.0,0.75,4.5,0.17,20.0,24.0,56.0,1.3,,osm-1476971106
3050351,"Herndon silt loam, 6 to 10 percent slopes",Herndon,90.0,Well drained,0.0,20.0,0.75,4.5,0.17,20.0,24.0,56.0,1.3,,osm-1476971106
3050323,"Chewacla loam, 0 to 2 percent slopes, frequently flooded",Chewacla,90.0,Somewhat poorly drained,15.0,132.0,1.0,5.5,0.11,28.0,53.0,19.0,1.4,,osm-1476971106
3050350,"Herndon silt loam, 2 to 6 percent slopes",Herndon,90.0,Well drained,20.0,30.0,0.25,4.6,0.18,30.0,15.0,55.0,1.4,,osm-1476971106
3050351,"Herndon silt loam, 6 to 10 percent slopes",Herndon,90.0,Well drained,20.0,30.0,0.25,4.6,0.18,30.0,15.0,55.0,1.4,,osm-1476971106
3050384,"Wynott-Enon complex, 2 to 6 percent slopes, moderately eroded",Wynott,50.0,Well drained,0.0,13.0,1.25,5.5,0.1,28.0,50.0,22.0,1.44,,osm-1476971106
3050385,"Wynott-Enon complex, 6 to 10 percent slopes, moderately eroded",Wynott,50.0,Well drained,0.0,13.0,1.25,5.5,0.1,28.0,50.0,22.0,1.44,,osm-1476971106
3050384,"Wynott-Enon complex, 2 to 6 percent slopes, moderately eroded",Wynott,50.0,Well drained,13.0,36.0,0.2,5.5,0.18,50.0,22.0,28.0,1.36,,osm-1476971106
3050385,"Wynott-Enon complex, 6 to 10 percent slopes, moderately eroded",Wynott,50.0,Well drained,13.0,36.0,0.2,5.5,0.18,50.0,22.0,28.0,1.36,,osm-1476971106
3050384,"Wynott-Enon complex, 2 to 6 percent slopes, moderately eroded",Enon,45.0,Well drained,0.0,20.0,1.25,5.5,0.11,28.0,50.0,22.0,1.44,,osm-1476971106
3050385,"Wynott-Enon complex, 6 to 10 percent slopes, moderately eroded",Enon,45.0,Well drained,0.0,20.0,1.25,5.5,0.11,28.0,50.0,22.0,1.44,,osm-1476971106
3050384,"Wynott-Enon complex, 2 to 6 percent slopes, moderately eroded",Enon,45.0,Well drained,20.0,81.0,0.25,5.5,0.15,54.0,30.0,16.0,1.4,,osm-1476971106
3050385,"Wynott-Enon complex, 6 to 10 percent slopes, moderately eroded",Enon,45.0,Well drained,20.0,81.0,0.25,5.5,0.14,54.0,30.0,16.0,1.4,,osm-1476971106
3050323,"Chewacla loam, 0 to 2 percent slopes, frequently flooded",Riverview,5.0,Well drained,0.0,46.0,1.25,5.5,0.22,19.0,43.0,38.0,1.44,,osm-1476971106
3050323,"Chewacla loam, 0 to 2 percent slopes, frequently flooded",Wehadkee,5.0,Poorly drained,0.0,20.0,3.5,5.5,0.2,18.0,47.0,35.0,1.34,,osm-1476971106
3050324,"Cullen clay loam, 2 to 6 percent slopes, moderately eroded",Enon,5.0,Well drained,0.0,18.0,0.75,5.0,0.2,29.0,41.0,30.0,1.48,,osm-1476971106
3050325,"Cullen clay loam, 6 to 10 percent slopes, moderately eroded",Enon,5.0,Well drained,0.0,18.0,0.75,5.0,0.2,29.0,41.0,30.0,1.48,,osm-1476971106
3050326,"Cullen clay loam, 10 to 15 percent slopes, moderately eroded",Enon,5.0,Well drained,0.0,18.0,0.75,5.0,0.2,29.0,41.0,30.0,1.48,,osm-1476971106
3050350,"Herndon silt loam, 2 to 6 percent slopes",Lignum,5.0,Moderately well drained,0.0,5.0,1.5,5.0,0.19,17.0,29.0,54.0,1.48,,osm-1476971106
3050350,"Herndon silt loam, 2 to 6 percent slopes",Nanford,5.0,Well drained,0.0,18.0,2.0,4.7,0.21,11.0,23.0,66.0,1.36,,osm-1476971106
3050351,"Herndon silt loam, 6 to 10 percent slopes",Lignum,5.0,Moderately well drained,0.0,5.0,1.5,5.0,0.19,17.0,29.0,54.0,1.48,,osm-1476971106
3050351,"Herndon silt loam, 6 to 10 percent slopes",Nanford,5.0,Well drained,0.0,18.0,2.0,4.7,0.21,11.0,23.0,66.0,1.36,,osm-1476971106
3050384,"Wynott-Enon complex, 2 to 6 percent slopes, moderately eroded",Iredell,5.0,Moderately well drained,0.0,20.0,1.25,5.5,0.17,30.0,36.0,34.0,1.42,,osm-1476971106
