field_id,year,crop_code,crop_name,pixel_count,pct
osm-1476971106,2021,5,Soybeans,586,95.28
osm-1476971106,2021,176,Grass/Pasture,16,2.6
osm-1476971106,2021,1,Corn,4,0.65
osm-1476971106,2021,121,Developed/Open Space,3,0.49
osm-1476971106,2021,37,Code_37,2,0.33
osm-1476971106,2021,141,Deciduous Forest,2,0.33
osm-1476971106,2021,2,Code_2,1,0.16
osm-1476971106,2021,237,Code_237,1,0.16
osm-1009084804,2021,1,Corn,196,97.51
osm-1009084804,2021,0,No Data,1,0.5
osm-1009084804,2021,5,Soybeans,1,0.5
osm-1009084804,2021,26,Code_26,1,0.5
osm-1009084804,2021,143,Code_143,1,0.5
osm-1009084804,2021,176,Grass/Pasture,1,0.5
osm-588414811,2021,122,Code_122,106,34.64
osm-588414811,2021,5,Soybeans,69,22.55
osm-588414811,2021,123,Code_123,60,19.61
osm-588414811,2021,121,Developed/Open Space,48,15.69
osm-588414811,2021,124,Code_124,14,4.58
osm-588414811,2021,176,Grass/Pasture,5,1.63
osm-588414811,2021,67,Cotton,4,1.31
osm-976134461,2021,176,Grass/Pasture,81,31.4
osm-976134461,2021,190,Xmas Trees,58,22.48
osm-976134461,2021,142,Code_142,52,20.16
osm-976134461,2021,141,Deciduous Forest,26,10.08
osm-976134461,2021,152,Code_152,15,5.81
osm-976134461,2021,111,Code_111,14,5.43
osm-976134461,2021,195,Code_195,4,1.55
osm-976134461,2021,121,Developed/Open Space,2,0.78
osm-976134461,2021,143,Code_143,2,0.78
osm-976134461,2021,26,Code_26,1,0.39
osm-976134461,2021,37,Code_37,1,0.39
osm-976134461,2021,59,Code_59,1,0.39
osm-976134461,2021,67,Cotton,1,0.39
osm-548794709,2021,37,Code_37,316,71.01
osm-548794709,2021,5,Soybeans,53,11.91
osm-548794709,2021,1,Corn,13,2.92
osm-548794709,2021,121,Developed/Open Space,13,2.92
osm-548794709,2021,152,Code_152,12,2.7
osm-548794709,2021,122,Code_122,10,2.25
osm-548794709,2021,176,Grass/Pasture,7,1.57
osm-548794709,2021,142,Code_142,5,1.12
osm-548794709,2021,190,Xmas Trees,5,1.12
osm-548794709,2021,123,Code_123,4,0.9
osm-548794709,2021,26,Code_26,3,0.67
osm-548794709,2021,2,Code_2,2,0.45
osm-548794709,2021,6,Winter Wheat,1,0.22
osm-548794709,2021,61,Fallow/Idle Cropland,1,0.22
osm-1305439648,2021,176,Grass/Pasture,399,47.0
osm-1305439648,2021,5,Soybeans,290,34.16
osm-1305439648,2021,1,Corn,121,14.25
osm-1305439648,2021,37,Code_37,13,1.53
osm-1305439648,2021,26,Code_26,7,0.82
osm-1305439648,2021,121,Developed/Open Space,5,0.59
osm-1305439648,2021,141,Deciduous Forest,5,0.59
osm-1305439648,2021,2,Code_2,2,0.24
osm-1305439648,2021,152,Code_152,2,0.24
osm-1305439648,2021,225,Code_225,2,0.24
osm-1305439648,2021,24,Winter Wheat,1,0.12
osm-1305439648,2021,27,Rye,1,0.12
osm-1305439648,2021,61,Fallow/Idle Cropland,1,0.12
osm-566823123,2021,26,Code_26,84,84.0
osm-566823123,2021,5,Soybeans,6,6.0
osm-566823123,2021,122,Code_122,4,4.0
osm-566823123,2021,121,Developed/Open Space,3,3.0
osm-566823123,2021,225,Code_225,2,2.0
osm-566823123,2021,176,Grass/Pasture,1,1.0
osm-1278239614,2021,5,Soybeans,153,96.84
osm-1278239614,2021,121,Developed/Open Space,2,1.27
osm-1278239614,2021,1,Corn,1,0.63
osm-1278239614,2021,176,Grass/Pasture,1,0.63
osm-1278239614,2021,236,Code_236,1,0.63
osm-1103713058,2021,1,Corn,152,62.3
osm-1103713058,2021,37,Code_37,34,13.93
osm-1103713058,2021,176,Grass/Pasture,25,10.25
osm-1103713058,2021,26,Code_26,12,4.92
osm-1103713058,2021,236,Code_236,6,2.46
osm-1103713058,2021,24,Winter Wheat,4,1.64
osm-1103713058,2021,121,Developed/Open Space,3,1.23
osm-1103713058,2021,141,Deciduous Forest,3,1.23
osm-1103713058,2021,240,Code_240,3,1.23
osm-1103713058,2021,5,Soybeans,1,0.41
osm-1103713058,2021,36,Forest,1,0.41
osm-274848457,2021,5,Soybeans,184,64.34
osm-274848457,2021,26,Code_26,73,25.52
osm-274848457,2021,176,Grass/Pasture,8,2.8
osm-274848457,2021,121,Developed/Open Space,6,2.1
osm-274848457,2021,240,Code_240,5,1.75
osm-274848457,2021,2,Code_2,4,1.4
osm-274848457,2021,10,Code_10,1,0.35
osm-274848457,2021,37,Code_37,1,0.35
osm-274848457,2021,141,Deciduous Forest,1,0.35
osm-274848457,2021,143,Code_143,1,0.35
osm-274848457,2021,152,Code_152,1,0.35
osm-274848457,2021,190,Xmas Trees,1,0.35
osm-260949778,2021,141,Deciduous Forest,990,28.71
osm-260949778,2021,176,Grass/Pasture,947,27.47
osm-260949778,2021,5,Soybeans,520,15.08
osm-260949778,2021,37,Code_37,168,4.87
osm-260949778,2021,142,Code_142,165,4.79
osm-260949778,2021,143,Code_143,159,4.61
osm-260949778,2021,1,Corn,114,3.31
osm-260949778,2021,123,Code_123,101,2.93
osm-260949778,2021,121,Developed/Open Space,88,2.55
osm-260949778,2021,122,Code_122,86,2.49
osm-260949778,2021,26,Code_26,41,1.19
osm-260949778,2021,152,Code_152,29,0.84
osm-260949778,2021,111,Code_111,18,0.52
osm-260949778,2021,24,Winter Wheat,10,0.29
osm-260949778,2021,61,Fallow/Idle Cropland,4,0.12
osm-260949778,2021,124,Code_124,3,0.09
osm-260949778,2021,190,Xmas Trees,2,0.06
osm-260949778,2021,4,Code_4,1,0.03
osm-260949778,2021,225,Code_225,1,0.03
osm-260949778,2021,237,Code_237,1,0.03
osm-1133139440,2021,2,Code_2,572,88.27
osm-1133139440,2021,5,Soybeans,55,8.49
osm-1133139440,2021,121,Developed/Open Space,14,2.16
osm-1133139440,2021,26,Code_26,4,0.62
osm-1133139440,2021,1,Corn,1,0.15
osm-1133139440,2021,123,Code_123,1,0.15
osm-1133139440,2021,142,Code_142,1,0.15
osm-1435108796,2021,5,Soybeans,375,91.46
osm-1435108796,2021,1,Corn,16,3.9
osm-1435108796,2021,176,Grass/Pasture,13,3.17
osm-1435108796,2021,122,Code_122,2,0.49
osm-1435108796,2021,121,Developed/Open Space,1,0.24
osm-1435108796,2021,141,Deciduous Forest,1,0.24
osm-1435108796,2021,143,Code_143,1,0.24
osm-1435108796,2021,225,Code_225,1,0.24
osm-1424677694,2021,5,Soybeans,52,42.98
osm-1424677694,2021,26,Code_26,31,25.62
osm-1424677694,2021,24,Winter Wheat,28,23.14
osm-1424677694,2021,122,Code_122,4,3.31
osm-1424677694,2021,37,Code_37,2,1.65
osm-1424677694,2021,121,Developed/Open Space,2,1.65
osm-1424677694,2021,176,Grass/Pasture,2,1.65
osm-692623518,2021,1,Corn,10,50.0
osm-692623518,2021,176,Grass/Pasture,5,25.0
osm-692623518,2021,37,Code_37,3,15.0
osm-692623518,2021,5,Soybeans,1,5.0
osm-692623518,2021,111,Code_111,1,5.0
osm-199889806,2021,142,Code_142,391,88.06
osm-199889806,2021,143,Code_143,42,9.46
osm-199889806,2021,152,Code_152,5,1.13
osm-199889806,2021,141,Deciduous Forest,4,0.9
osm-199889806,2021,121,Developed/Open Space,1,0.23
osm-199889806,2021,190,Xmas Trees,1,0.23
osm-813157720,2021,26,Code_26,458,52.28
osm-813157720,2021,5,Soybeans,150,17.12
osm-813157720,2021,11,Code_11,87,9.93
osm-813157720,2021,176,Grass/Pasture,69,7.88
osm-813157720,2021,141,Deciduous Forest,36,4.11
osm-813157720,2021,37,Code_37,34,3.88
osm-813157720,2021,1,Corn,8,0.91
osm-813157720,2021,24,Winter Wheat,8,0.91
osm-813157720,2021,152,Code_152,7,0.8
osm-813157720,2021,142,Code_142,5,0.57
osm-813157720,2021,111,Code_111,4,0.46
osm-813157720,2021,143,Code_143,4,0.46
osm-813157720,2021,2,Code_2,3,0.34
osm-813157720,2021,61,Fallow/Idle Cropland,3,0.34
osm-834363677,2021,237,Code_237,550,91.67
osm-834363677,2021,176,Grass/Pasture,16,2.67
osm-834363677,2021,1,Corn,14,2.33
osm-834363677,2021,5,Soybeans,7,1.17
osm-834363677,2021,141,Deciduous Forest,4,0.67
osm-834363677,2021,152,Code_152,3,0.5
osm-834363677,2021,11,Code_11,2,0.33
osm-834363677,2021,37,Code_37,2,0.33
osm-834363677,2021,4,Code_4,1,0.17
osm-834363677,2021,121,Developed/Open Space,1,0.17
osm-1361967329,2021,11,Code_11,134,39.64
osm-1361967329,2021,1,Corn,58,17.16
osm-1361967329,2021,26,Code_26,52,15.38
osm-1361967329,2021,176,Grass/Pasture,32,9.47
osm-1361967329,2021,5,Soybeans,28,8.28
osm-1361967329,2021,121,Developed/Open Space,11,3.25
osm-1361967329,2021,141,Deciduous Forest,7,2.07
osm-1361967329,2021,24,Winter Wheat,5,1.48
osm-1361967329,2021,37,Code_37,3,0.89
osm-1361967329,2021,122,Code_122,2,0.59
osm-1361967329,2021,123,Code_123,2,0.59
osm-1361967329,2021,142,Code_142,2,0.59
osm-1361967329,2021,61,Fallow/Idle Cropland,1,0.3
osm-1361967329,2021,152,Code_152,1,0.3
osm-1386621285,2021,2,Code_2,540,64.59
osm-1386621285,2021,5,Soybeans,131,15.67
osm-1386621285,2021,141,Deciduous Forest,80,9.57
osm-1386621285,2021,143,Code_143,26,3.11
osm-1386621285,2021,152,Code_152,19,2.27
osm-1386621285,2021,176,Grass/Pasture,16,1.91
osm-1386621285,2021,1,Corn,5,0.6
osm-1386621285,2021,37,Code_37,5,0.6
osm-1386621285,2021,26,Code_26,3,0.36
osm-1386621285,2021,61,Fallow/Idle Cropland,3,0.36
osm-1386621285,2021,121,Developed/Open Space,2,0.24
osm-1386621285,2021,142,Code_142,2,0.24
osm-1386621285,2021,190,Xmas Trees,2,0.24
osm-1386621285,2021,29,Code_29,1,0.12
osm-1386621285,2021,195,Code_195,1,0.12
osm-1383475117,2021,26,Code_26,57,100.0
osm-1153259427,2021,5,Soybeans,2690,97.15
osm-1153259427,2021,1,Corn,56,2.02
osm-1153259427,2021,121,Developed/Open Space,12,0.43
osm-1153259427,2021,4,Code_4,3,0.11
osm-1153259427,2021,122,Code_122,3,0.11
osm-1153259427,2021,2,Code_2,2,0.07
osm-1153259427,2021,176,Grass/Pasture,2,0.07
osm-1153259427,2021,26,Code_26,1,0.04
osm-1197040178,2021,5,Soybeans,94,98.95
osm-1197040178,2021,176,Grass/Pasture,1,1.05
osm-1476971106,2022,2,Code_2,537,87.32
osm-1476971106,2022,5,Soybeans,44,7.15
osm-1476971106,2022,176,Grass/Pasture,21,3.41
osm-1476971106,2022,1,Corn,4,0.65
osm-1476971106,2022,121,Developed/Open Space,4,0.65
osm-1476971106,2022,141,Deciduous Forest,2,0.33
osm-1476971106,2022,11,Code_11,1,0.16
osm-1476971106,2022,26,Code_26,1,0.16
osm-1476971106,2022,37,Code_37,1,0.16
osm-1009084804,2022,26,Code_26,198,98.51
osm-1009084804,2022,0,No Data,1,0.5
osm-1009084804,2022,24,Winter Wheat,1,0.5
osm-1009084804,2022,176,Grass/Pasture,1,0.5
osm-588414811,2022,122,Code_122,106,34.64
osm-588414811,2022,123,Code_123,60,19.61
osm-588414811,2022,121,Developed/Open Space,51,16.67
osm-588414811,2022,1,Corn,38,12.42
osm-588414811,2022,124,Code_124,14,4.58
osm-588414811,2022,237,Code_237,13,4.25
osm-588414811,2022,26,Code_26,12,3.92
osm-588414811,2022,176,Grass/Pasture,8,2.61
osm-588414811,2022,5,Soybeans,3,0.98
osm-588414811,2022,228,Code_228,1,0.33
osm-976134461,2022,190,Xmas Trees,67,25.97
osm-976134461,2022,142,Code_142,66,25.58
osm-976134461,2022,176,Grass/Pasture,54,20.93
osm-976134461,2022,143,Code_143,20,7.75
osm-976134461,2022,141,Deciduous Forest,16,6.2
osm-976134461,2022,195,Code_195,10,3.88
osm-976134461,2022,111,Code_111,9,3.49
osm-976134461,2022,152,Code_152,7,2.71
osm-976134461,2022,37,Code_37,3,1.16
osm-976134461,2022,121,Developed/Open Space,2,0.78
osm-976134461,2022,1,Corn,1,0.39
