field_id,lat,lon,date,T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,ALLSKY_SFC_SW_DWN,RH2M,WS10M,year,doy,gdd,gdd_cumulative,month,growing_season
osm-260949778,36.142687773246635,-79.55177292644629,2020-05-01,12.81,17.79,7.93,0.31,19.16,75.84,3.72,2020,122,2.8599999999999994,291.65000000000003,5,True
osm-260949778,36.142687773246635,-79.55177292644629,2020-05-02,15.08,22.22,7.16,0.0,28.23,74.74,2.12,2020,123,4.6899999999999995,296.34000000000003,5,True
osm-260949778,36.142687773246635,-79.55177292644629,2020-05-03,20.62,27.85,12.67,0.0,26.81,77.59,3.29,2020,124,10.260000000000002,306.6,5,True
osm-260949778,36.142687773246635,-79.55177292644629,2020-05-04,19.44,24.43,13.17,0.02,29.54,70.32,3.36,2020,125,8.8,315.40000000000003,5,True
osm-260949778,36.142687773246635,-79.55177292644629,2020-05-05,15.69,19.1,12.39,1.42,9.52,85.09,2.24,2020,126,5.745000000000001,321.145,5,True
osm-260949778,36.142687773246635,-79.55177292644629,2020-05-06,14.5,19.71,6.96,2.73,20.49,75.46,3.52,2020,127,3.335000000000001,324.48,5,True
osm-260949778,36.142687773246635,-79.55177292644629,2020-05-07,11.2,18.02,3.88,0.0,29.84,65.33,2.99,2020,128,0.9499999999999993,325.43,5,True
osm-260949778,36.142687773246635,-79.55177292644629,2020-05-08,13.01,19.29,7.47,1.52,13.12,76.08,4.48,2020,129,3.379999999999999,328.81,5,True
osm-260949778,36.142687773246635,-79.55177292644629,2020-05-09,8.98,15.32,2.87,0.0,30.46,60.88,3.6,2020,130,0.0,328.81,5,True
osm-260949778,36.142687773246635,-79.55177292644629,2020-05-10,11.33,19.18,1.85,0.0,30.53,67.03,2.84,2020,131,0.5150000000000006,329.325,5,True
osm-260949778,36.142687773246635,-79.55177292644629,2020-05-11,11.96,17.44,5.03,0.0,29.97,66.45,3.91,2020,132,1.2350000000000012,330.56,5,True
osm-260949778,36.142687773246635,-79.55177292644629,2020-05-12,9.65,15.6,2.87,0.0,25.31,68.33,2.56,2020,133,0.0,330.56,5,True
osm-260949778,36.142687773246635,-79.55177292644629,2020-05-13,13.42,19.04,7.35,0.1,14.84,73.43,1.39,2020,134,3.1950000000000003,333.755,5,True
osm-260949778,36.142687773246635,-79.55177292644629,2020-05-14,17.64,24.38,10.78,0.05,17.48,82.92,2.7,2020,135,7.579999999999998,341.33500000000004,5,True
osm-260949778,36.142687773246635,-79.55177292644629,2020-05-15,20.2,26.53,14.06,0.0,28.22,78.74,3.26,2020,136,10.295000000000002,351.63,5,True
osm-260949778,36.142687773246635,-79.55177292644629,2020-05-16,22.23,30.0,14.71,0.0,27.83,75.32,1.89,2020,137,12.355,363.985,5,True
osm-260949778,36.142687773246635,-79.55177292644629,2020-05-17,21.94,27.9,16.24,0.41,21.81,80.86,2.34,2020,138,12.07,376.055,5,True
osm-260949778,36.142687773246635,-79.55177292644629,2020-05-18,20.52,25.91,16.54,12.56,11.41,86.98,2.65,2020,139,11.225000000000001,387.28000000000003,5,True
osm-260949778,36.142687773246635,-79.55177292644629,2020-05-19,15.35,17.42,11.93,30.55,5.12,91.71,4.92,2020,140,4.675000000000001,391.95500000000004,5,True
